weather_description,temperature,atmospheric_pressure,humidity,wind_speed,cloudiness,current_luminosity,sunrise,sunset,creation_date,datetime
algumas nuvens,10,1029,100,1,20,DARK,2019-02-28 07:09:04,2019-02-28 18:23:45,2019-02-28 23:04:58,2019-02-28 23
algumas nuvens,10,1029,100,1,20,DARK,2019-02-28 07:09:08,2019-02-28 18:23:42,2019-02-28 22:04:58,2019-02-28 22
algumas nuvens,10,1029,93,2,40,DARK,2019-02-28 07:09:12,2019-02-28 18:23:40,2019-02-28 21:04:58,2019-02-28 21
algumas nuvens,11,1029,93,3,75,DARK,2019-02-28 07:09:16,2019-02-28 18:23:37,2019-02-28 20:04:58,2019-02-28 20
algumas nuvens,12,1029,87,3,20,DARK,2019-02-28 07:09:20,2019-02-28 18:23:34,2019-02-28 19:04:58,2019-02-28 19
algumas nuvens,13,1029,87,4,20,LOW_LIGHT,2019-02-28 07:09:24,2019-02-28 18:23:31,2019-02-28 18:04:58,2019-02-28 18
algumas nuvens,14,1029,82,4,20,LIGHT,2019-02-28 07:09:28,2019-02-28 18:23:28,2019-02-28 17:04:58,2019-02-28 17
algumas nuvens,15,1030,82,4,20,LIGHT,2019-02-28 07:09:32,2019-02-28 18:23:25,2019-02-28 16:04:58,2019-02-28 16
algumas nuvens,15,1030,82,3,20,LIGHT,2019-02-28 07:09:36,2019-02-28 18:23:22,2019-02-28 15:04:58,2019-02-28 15
céu claro,15,1031,76,2,0,LIGHT,2019-02-28 07:09:39,2019-02-28 18:23:19,2019-02-28 14:04:58,2019-02-28 14
céu claro,14,1032,71,2,0,LIGHT,2019-02-28 07:09:43,2019-02-28 18:23:16,2019-02-28 13:04:59,2019-02-28 13
céu claro,14,1032,71,3,0,LIGHT,2019-02-28 07:09:47,2019-02-28 18:23:13,2019-02-28 12:04:58,2019-02-28 12
céu claro,12,1032,81,2,0,LIGHT,2019-02-28 07:09:51,2019-02-28 18:23:10,2019-02-28 11:04:59,2019-02-28 11
céu claro,9,1032,87,1,0,LIGHT,2019-02-28 07:09:55,2019-02-28 18:23:07,2019-02-28 10:04:58,2019-02-28 10
algumas nuvens,7,1032,93,1,12,LIGHT,2019-02-28 07:09:59,2019-02-28 18:23:04,2019-02-28 09:04:58,2019-02-28 09
algumas nuvens,4,1031,100,1,20,LIGHT,2019-02-28 07:10:03,2019-02-28 18:23:01,2019-02-28 08:04:59,2019-02-28 08
algumas nuvens,4,1031,100,0,20,DARK,2019-02-28 07:10:07,2019-02-28 18:22:58,2019-02-28 07:04:58,2019-02-28 07
chuva fraca,5,1031,100,1,20,DARK,2019-02-28 07:10:11,2019-02-28 18:22:55,2019-02-28 06:04:58,2019-02-28 06
algumas nuvens,5,1030,100,0,48,DARK,2019-02-28 07:10:14,2019-02-28 18:22:52,2019-02-28 05:04:58,2019-02-28 05
céu claro,6,1030,100,1,0,DARK,2019-02-28 07:10:18,2019-02-28 18:22:49,2019-02-28 04:04:58,2019-02-28 04
tempo nublado,6,1031,100,1,88,DARK,2019-02-28 07:10:22,2019-02-28 18:22:46,2019-02-28 03:04:58,2019-02-28 03
tempo nublado,7,1031,100,1,88,DARK,2019-02-28 07:10:26,2019-02-28 18:22:43,2019-02-28 02:05:01,2019-02-28 02
algumas nuvens,8,1031,100,1,20,DARK,2019-02-28 07:10:30,2019-02-28 18:22:40,2019-02-28 01:04:58,2019-02-28 01
céu claro,8,1031,100,1,0,DARK,2019-02-28 07:10:34,2019-02-28 18:22:38,2019-02-28 00:04:58,2019-02-28 00
céu claro,9,1031,93,0,0,DARK,2019-02-27 07:10:38,2019-02-27 18:22:35,2019-02-27 23:04:58,2019-02-27 23
algumas nuvens,9,1031,100,0,12,DARK,2019-02-27 07:10:42,2019-02-27 18:22:32,2019-02-27 22:04:58,2019-02-27 22
céu claro,10,1031,93,0,0,DARK,2019-02-27 07:10:46,2019-02-27 18:22:29,2019-02-27 21:04:58,2019-02-27 21
algumas nuvens,12,1030,87,0,20,DARK,2019-02-27 07:10:49,2019-02-27 18:22:26,2019-02-27 20:04:58,2019-02-27 20
algumas nuvens,12,1030,87,1,20,DARK,2019-02-27 07:10:53,2019-02-27 18:22:23,2019-02-27 19:04:58,2019-02-27 19
algumas nuvens,14,1029,76,1,20,LOW_LIGHT,2019-02-27 07:10:57,2019-02-27 18:22:20,2019-02-27 18:04:58,2019-02-27 18
algumas nuvens,15,1029,62,1,20,LIGHT,2019-02-27 07:11:01,2019-02-27 18:22:17,2019-02-27 17:04:58,2019-02-27 17
algumas nuvens,15,1028,67,2,40,LIGHT,2019-02-27 07:11:05,2019-02-27 18:22:14,2019-02-27 16:04:59,2019-02-27 16
chuva fraca,14,1028,72,3,40,LIGHT,2019-02-27 07:11:09,2019-02-27 18:22:11,2019-02-27 15:04:58,2019-02-27 15
algumas nuvens,14,1028,72,4,40,LIGHT,2019-02-27 07:11:13,2019-02-27 18:22:08,2019-02-27 14:04:58,2019-02-27 14
chuva moderada,15,1029,76,3,75,LIGHT,2019-02-27 07:11:16,2019-02-27 18:22:05,2019-02-27 13:04:59,2019-02-27 13
algumas nuvens,15,1028,77,5,75,LIGHT,2019-02-27 07:11:20,2019-02-27 18:22:02,2019-02-27 12:04:58,2019-02-27 12
algumas nuvens,15,1028,62,7,75,LIGHT,2019-02-27 07:11:24,2019-02-27 18:21:59,2019-02-27 11:04:58,2019-02-27 11
algumas nuvens,14,1027,58,7,40,LIGHT,2019-02-27 07:11:28,2019-02-27 18:21:56,2019-02-27 10:04:58,2019-02-27 10
algumas nuvens,13,1026,58,6,40,LIGHT,2019-02-27 07:11:32,2019-02-27 18:21:53,2019-02-27 09:04:58,2019-02-27 09
algumas nuvens,11,1026,62,5,40,LIGHT,2019-02-27 07:11:36,2019-02-27 18:21:50,2019-02-27 08:04:58,2019-02-27 08
algumas nuvens,10,1025,62,5,20,DARK,2019-02-27 07:11:40,2019-02-27 18:21:47,2019-02-27 07:04:58,2019-02-27 07
céu claro,11,1025,71,5,0,DARK,2019-02-27 07:11:43,2019-02-27 18:21:44,2019-02-27 06:04:58,2019-02-27 06
céu claro,13,1025,62,5,0,DARK,2019-02-27 07:11:47,2019-02-27 18:21:41,2019-02-27 05:04:58,2019-02-27 05
céu claro,13,1024,67,6,0,DARK,2019-02-27 07:11:51,2019-02-27 18:21:38,2019-02-27 04:04:58,2019-02-27 04
céu claro,12,1024,81,2,0,DARK,2019-02-27 07:11:55,2019-02-27 18:21:35,2019-02-27 03:04:58,2019-02-27 03
céu claro,12,1024,76,2,0,DARK,2019-02-27 07:11:59,2019-02-27 18:21:32,2019-02-27 02:04:59,2019-02-27 02
céu claro,13,1024,76,1,0,DARK,2019-02-27 07:12:03,2019-02-27 18:21:29,2019-02-27 01:04:58,2019-02-27 01
céu claro,13,1024,71,2,0,DARK,2019-02-27 07:12:07,2019-02-27 18:21:26,2019-02-27 00:04:58,2019-02-27 00
céu claro,13,1024,71,1,0,DARK,2019-02-26 07:12:10,2019-02-26 18:21:23,2019-02-26 23:04:58,2019-02-26 23
céu claro,15,1023,55,1,0,DARK,2019-02-26 07:12:14,2019-02-26 18:21:20,2019-02-26 22:04:58,2019-02-26 22
céu claro,15,1023,67,1,0,DARK,2019-02-26 07:12:18,2019-02-26 18:21:18,2019-02-26 21:04:58,2019-02-26 21
céu claro,16,1023,62,1,0,DARK,2019-02-26 07:12:22,2019-02-26 18:21:15,2019-02-26 20:04:58,2019-02-26 20
céu claro,17,1022,59,2,0,DARK,2019-02-26 07:12:26,2019-02-26 18:21:12,2019-02-26 19:04:58,2019-02-26 19
céu claro,19,1022,42,1,0,LOW_LIGHT,2019-02-26 07:12:30,2019-02-26 18:21:09,2019-02-26 18:04:58,2019-02-26 18
céu claro,21,1022,42,2,0,LIGHT,2019-02-26 07:12:33,2019-02-26 18:21:06,2019-02-26 17:04:59,2019-02-26 17
céu claro,22,1022,40,3,0,LIGHT,2019-02-26 07:12:37,2019-02-26 18:21:03,2019-02-26 16:04:58,2019-02-26 16
céu claro,22,1022,33,3,0,LIGHT,2019-02-26 07:12:41,2019-02-26 18:21:00,2019-02-26 15:04:58,2019-02-26 15
céu claro,22,1023,31,4,0,LIGHT,2019-02-26 07:12:45,2019-02-26 18:20:57,2019-02-26 14:04:58,2019-02-26 14
céu claro,21,1024,33,5,0,LIGHT,2019-02-26 07:12:49,2019-02-26 18:20:54,2019-02-26 13:05:02,2019-02-26 13
céu claro,20,1024,40,5,0,LIGHT,2019-02-26 07:12:53,2019-02-26 18:20:51,2019-02-26 12:04:58,2019-02-26 12
céu claro,18,1025,48,4,0,LIGHT,2019-02-26 07:12:56,2019-02-26 18:20:48,2019-02-26 11:04:58,2019-02-26 11
céu claro,14,1025,51,4,0,LIGHT,2019-02-26 07:13:00,2019-02-26 18:20:45,2019-02-26 10:04:58,2019-02-26 10
céu claro,13,1025,58,4,0,LIGHT,2019-02-26 07:13:04,2019-02-26 18:20:42,2019-02-26 09:04:58,2019-02-26 09
céu claro,10,1025,71,3,0,LIGHT,2019-02-26 07:13:08,2019-02-26 18:20:39,2019-02-26 08:04:58,2019-02-26 08
céu claro,8,1025,62,5,0,DARK,2019-02-26 07:13:12,2019-02-26 18:20:36,2019-02-26 07:04:58,2019-02-26 07
céu claro,9,1024,62,5,0,DARK,2019-02-26 07:13:16,2019-02-26 18:20:33,2019-02-26 06:04:58,2019-02-26 06
céu claro,10,1024,62,4,0,DARK,2019-02-26 07:13:19,2019-02-26 18:20:30,2019-02-26 05:04:58,2019-02-26 05
céu claro,10,1025,62,5,0,DARK,2019-02-26 07:13:23,2019-02-26 18:20:27,2019-02-26 04:04:58,2019-02-26 04
céu claro,10,1025,62,5,0,DARK,2019-02-26 07:13:27,2019-02-26 18:20:24,2019-02-26 03:04:58,2019-02-26 03
céu claro,10,1026,66,3,0,DARK,2019-02-26 07:13:31,2019-02-26 18:20:21,2019-02-26 02:04:58,2019-02-26 02
céu claro,11,1026,62,2,0,DARK,2019-02-26 07:13:35,2019-02-26 18:20:18,2019-02-26 01:04:58,2019-02-26 01
céu claro,12,1026,71,1,0,DARK,2019-02-26 07:13:38,2019-02-26 18:20:15,2019-02-26 00:04:58,2019-02-26 00
céu claro,12,1027,62,2,0,DARK,2019-02-25 07:13:42,2019-02-25 18:20:12,2019-02-25 23:04:58,2019-02-25 23
céu claro,12,1027,76,0,0,DARK,2019-02-25 07:13:46,2019-02-25 18:20:09,2019-02-25 22:04:58,2019-02-25 22
céu claro,14,1027,81,1,0,DARK,2019-02-25 07:13:50,2019-02-25 18:20:06,2019-02-25 21:04:58,2019-02-25 21
céu claro,15,1027,82,1,0,DARK,2019-02-25 07:13:54,2019-02-25 18:20:03,2019-02-25 20:04:58,2019-02-25 20
céu claro,16,1027,72,1,0,DARK,2019-02-25 07:13:58,2019-02-25 18:20:00,2019-02-25 19:04:58,2019-02-25 19
céu claro,17,1027,67,2,0,LOW_LIGHT,2019-02-25 07:14:01,2019-02-25 18:19:57,2019-02-25 18:05:01,2019-02-25 18
céu claro,20,1027,40,2,0,LIGHT,2019-02-25 07:14:05,2019-02-25 18:19:54,2019-02-25 17:04:58,2019-02-25 17
céu claro,21,1028,46,2,0,LIGHT,2019-02-25 07:14:09,2019-02-25 18:19:51,2019-02-25 16:04:58,2019-02-25 16
céu claro,20,1028,56,2,0,LIGHT,2019-02-25 07:14:13,2019-02-25 18:19:48,2019-02-25 15:04:58,2019-02-25 15
céu claro,23,1029,38,2,0,LIGHT,2019-02-25 07:14:17,2019-02-25 18:19:45,2019-02-25 14:04:58,2019-02-25 14
céu claro,22,1029,37,3,0,LIGHT,2019-02-25 07:14:20,2019-02-25 18:19:42,2019-02-25 13:04:58,2019-02-25 13
céu claro,20,1030,42,4,0,LIGHT,2019-02-25 07:14:24,2019-02-25 18:19:39,2019-02-25 12:04:58,2019-02-25 12
céu claro,19,1030,42,5,0,LIGHT,2019-02-25 07:14:28,2019-02-25 18:19:36,2019-02-25 11:04:58,2019-02-25 11
céu claro,16,1030,51,5,0,LIGHT,2019-02-25 07:14:32,2019-02-25 18:19:33,2019-02-25 10:04:58,2019-02-25 10
céu claro,14,1030,54,5,0,LIGHT,2019-02-25 07:14:36,2019-02-25 18:19:30,2019-02-25 09:04:58,2019-02-25 09
céu claro,13,1029,58,5,0,LIGHT,2019-02-25 07:14:39,2019-02-25 18:19:27,2019-02-25 08:04:59,2019-02-25 08
céu claro,13,1028,58,5,0,DARK,2019-02-25 07:14:43,2019-02-25 18:19:24,2019-02-25 07:04:58,2019-02-25 07
céu claro,13,1028,58,5,0,DARK,2019-02-25 07:14:47,2019-02-25 18:19:21,2019-02-25 06:04:58,2019-02-25 06
céu claro,13,1028,58,5,0,DARK,2019-02-25 07:14:51,2019-02-25 18:19:18,2019-02-25 05:04:58,2019-02-25 05
céu claro,13,1028,58,5,0,DARK,2019-02-25 07:14:54,2019-02-25 18:19:15,2019-02-25 04:04:58,2019-02-25 04
céu claro,13,1028,58,4,0,DARK,2019-02-25 07:14:58,2019-02-25 18:19:12,2019-02-25 03:04:58,2019-02-25 03
céu claro,13,1028,62,5,0,DARK,2019-02-25 07:15:02,2019-02-25 18:19:09,2019-02-25 02:04:58,2019-02-25 02
céu claro,12,1029,71,4,0,DARK,2019-02-25 07:15:06,2019-02-25 18:19:06,2019-02-25 01:04:58,2019-02-25 01
céu claro,11,1029,81,0,0,DARK,2019-02-25 07:15:10,2019-02-25 18:19:03,2019-02-25 00:04:58,2019-02-25 00
céu claro,13,1030,71,2,0,DARK,2019-02-24 07:15:13,2019-02-24 18:19:00,2019-02-24 23:04:58,2019-02-24 23
céu claro,12,1029,76,1,0,DARK,2019-02-24 07:15:17,2019-02-24 18:18:57,2019-02-24 22:04:58,2019-02-24 22
céu claro,13,1029,76,0,0,DARK,2019-02-24 07:15:21,2019-02-24 18:18:54,2019-02-24 21:04:58,2019-02-24 21
céu claro,14,1028,71,2,0,DARK,2019-02-24 07:15:25,2019-02-24 18:18:51,2019-02-24 20:04:58,2019-02-24 20
céu claro,16,1028,67,2,0,DARK,2019-02-24 07:15:28,2019-02-24 18:18:48,2019-02-24 19:04:58,2019-02-24 19
céu claro,19,1027,52,1,0,LOW_LIGHT,2019-02-24 07:15:32,2019-02-24 18:18:45,2019-02-24 18:04:58,2019-02-24 18
céu claro,19,1027,52,2,0,LIGHT,2019-02-24 07:15:36,2019-02-24 18:18:42,2019-02-24 17:04:58,2019-02-24 17
céu claro,20,1027,42,2,0,LIGHT,2019-02-24 07:15:40,2019-02-24 18:18:39,2019-02-24 16:04:58,2019-02-24 16
céu claro,21,1027,40,2,0,LIGHT,2019-02-24 07:15:43,2019-02-24 18:18:36,2019-02-24 15:04:58,2019-02-24 15
céu claro,23,1028,31,2,0,LIGHT,2019-02-24 07:15:47,2019-02-24 18:18:33,2019-02-24 14:04:58,2019-02-24 14
céu claro,22,1029,33,3,0,LIGHT,2019-02-24 07:15:51,2019-02-24 18:18:30,2019-02-24 13:04:58,2019-02-24 13
céu claro,21,1029,35,4,0,LIGHT,2019-02-24 07:15:55,2019-02-24 18:18:27,2019-02-24 12:04:58,2019-02-24 12
céu claro,19,1029,39,3,0,LIGHT,2019-02-24 07:15:59,2019-02-24 18:18:24,2019-02-24 11:04:58,2019-02-24 11
céu claro,17,1029,48,2,0,LIGHT,2019-02-24 07:16:02,2019-02-24 18:18:21,2019-02-24 10:04:58,2019-02-24 10
céu claro,14,1029,58,2,0,LIGHT,2019-02-24 07:16:06,2019-02-24 18:18:18,2019-02-24 09:04:58,2019-02-24 09
céu claro,14,1028,58,5,0,LIGHT,2019-02-24 07:16:10,2019-02-24 18:18:15,2019-02-24 08:04:59,2019-02-24 08
céu claro,14,1028,62,5,0,DARK,2019-02-24 07:16:14,2019-02-24 18:18:12,2019-02-24 07:04:58,2019-02-24 07
céu claro,13,1028,66,5,0,DARK,2019-02-24 07:16:17,2019-02-24 18:18:09,2019-02-24 06:04:58,2019-02-24 06
céu claro,12,1027,71,5,0,DARK,2019-02-24 07:16:21,2019-02-24 18:18:06,2019-02-24 05:04:58,2019-02-24 05
céu claro,11,1027,76,5,0,DARK,2019-02-24 07:16:25,2019-02-24 18:18:03,2019-02-24 04:04:58,2019-02-24 04
céu claro,10,1028,81,1,0,DARK,2019-02-24 07:16:29,2019-02-24 18:18:00,2019-02-24 03:04:58,2019-02-24 03
céu claro,12,1028,76,1,0,DARK,2019-02-24 07:16:32,2019-02-24 18:17:57,2019-02-24 02:04:58,2019-02-24 02
céu claro,12,1028,76,0,0,DARK,2019-02-24 07:16:36,2019-02-24 18:17:54,2019-02-24 01:04:58,2019-02-24 01
céu claro,13,1028,71,2,0,DARK,2019-02-24 07:16:40,2019-02-24 18:17:51,2019-02-24 00:04:58,2019-02-24 00
céu claro,10,1029,81,1,0,DARK,2019-02-23 07:16:44,2019-02-23 18:17:48,2019-02-23 23:04:58,2019-02-23 23
céu claro,11,1029,81,1,0,DARK,2019-02-23 07:16:47,2019-02-23 18:17:45,2019-02-23 22:04:58,2019-02-23 22
céu claro,12,1029,76,1,0,DARK,2019-02-23 07:16:51,2019-02-23 18:17:42,2019-02-23 21:04:58,2019-02-23 21
céu claro,13,1029,71,1,0,DARK,2019-02-23 07:16:55,2019-02-23 18:17:39,2019-02-23 20:04:58,2019-02-23 20
céu claro,15,1029,62,2,0,DARK,2019-02-23 07:16:58,2019-02-23 18:17:36,2019-02-23 19:04:58,2019-02-23 19
céu claro,18,1029,52,0,0,LOW_LIGHT,2019-02-23 07:17:02,2019-02-23 18:17:33,2019-02-23 18:04:58,2019-02-23 18
céu claro,19,1029,48,2,0,LIGHT,2019-02-23 07:17:06,2019-02-23 18:17:30,2019-02-23 17:04:58,2019-02-23 17
céu claro,22,1028,43,1,0,LIGHT,2019-02-23 07:17:10,2019-02-23 18:17:27,2019-02-23 16:04:58,2019-02-23 16
céu claro,20,1029,49,2,0,LIGHT,2019-02-23 07:17:13,2019-02-23 18:17:24,2019-02-23 15:04:58,2019-02-23 15
céu claro,20,1030,42,2,0,LIGHT,2019-02-23 07:17:17,2019-02-23 18:17:21,2019-02-23 14:04:58,2019-02-23 14
céu claro,19,1030,48,3,0,LIGHT,2019-02-23 07:17:21,2019-02-23 18:17:18,2019-02-23 13:04:58,2019-02-23 13
céu claro,17,1030,55,4,0,LIGHT,2019-02-23 07:17:25,2019-02-23 18:17:15,2019-02-23 12:04:58,2019-02-23 12
céu claro,15,1030,58,4,0,LIGHT,2019-02-23 07:17:28,2019-02-23 18:17:12,2019-02-23 11:04:58,2019-02-23 11
céu claro,13,1030,66,5,0,LIGHT,2019-02-23 07:17:32,2019-02-23 18:17:09,2019-02-23 10:04:58,2019-02-23 10
céu claro,12,1030,71,4,0,LIGHT,2019-02-23 07:17:36,2019-02-23 18:17:06,2019-02-23 09:04:58,2019-02-23 09
céu claro,11,1030,76,4,0,LIGHT,2019-02-23 07:17:39,2019-02-23 18:17:03,2019-02-23 08:04:58,2019-02-23 08
céu claro,11,1029,76,3,0,DARK,2019-02-23 07:17:43,2019-02-23 18:17:00,2019-02-23 07:04:59,2019-02-23 07
céu claro,12,1029,71,3,0,DARK,2019-02-23 07:17:47,2019-02-23 18:16:57,2019-02-23 06:04:58,2019-02-23 06
céu claro,12,1029,71,3,0,DARK,2019-02-23 07:17:51,2019-02-23 18:16:54,2019-02-23 05:04:58,2019-02-23 05
céu claro,12,1029,71,3,0,DARK,2019-02-23 07:17:54,2019-02-23 18:16:51,2019-02-23 04:04:58,2019-02-23 04
céu claro,12,1028,76,1,0,DARK,2019-02-23 07:17:58,2019-02-23 18:16:48,2019-02-23 03:04:58,2019-02-23 03
céu claro,13,1028,76,3,0,DARK,2019-02-23 07:18:02,2019-02-23 18:16:45,2019-02-23 02:04:58,2019-02-23 02
céu claro,12,1028,81,3,0,DARK,2019-02-23 07:18:05,2019-02-23 18:16:42,2019-02-23 01:04:58,2019-02-23 01
céu claro,14,1028,76,4,0,DARK,2019-02-23 07:18:09,2019-02-23 18:16:39,2019-02-23 00:04:58,2019-02-23 00
céu claro,16,1028,67,4,0,DARK,2019-02-22 07:18:13,2019-02-22 18:16:36,2019-02-22 23:04:58,2019-02-22 23
céu claro,16,1028,67,2,0,DARK,2019-02-22 07:18:16,2019-02-22 18:16:33,2019-02-22 22:04:58,2019-02-22 22
céu claro,15,1027,54,3,0,DARK,2019-02-22 07:18:20,2019-02-22 18:16:30,2019-02-22 21:04:58,2019-02-22 21
céu claro,15,1027,54,3,0,DARK,2019-02-22 07:18:24,2019-02-22 18:16:27,2019-02-22 20:04:59,2019-02-22 20
céu claro,16,1026,55,4,0,DARK,2019-02-22 07:18:28,2019-02-22 18:16:24,2019-02-22 19:04:58,2019-02-22 19
céu claro,20,1026,40,4,0,LOW_LIGHT,2019-02-22 07:18:31,2019-02-22 18:16:21,2019-02-22 18:04:58,2019-02-22 18
céu claro,22,1026,30,7,0,LIGHT,2019-02-22 07:18:35,2019-02-22 18:16:18,2019-02-22 17:04:58,2019-02-22 17
céu claro,22,1026,26,6,0,LIGHT,2019-02-22 07:18:39,2019-02-22 18:16:15,2019-02-22 16:04:58,2019-02-22 16
céu claro,21,1026,37,4,0,LIGHT,2019-02-22 07:18:46,2019-02-22 18:16:09,2019-02-22 14:04:59,2019-02-22 14
céu claro,20,1026,40,4,0,LIGHT,2019-02-22 07:18:50,2019-02-22 18:16:06,2019-02-22 13:04:58,2019-02-22 13
céu claro,18,1027,42,5,0,LIGHT,2019-02-22 07:18:53,2019-02-22 18:16:03,2019-02-22 12:04:58,2019-02-22 12
céu claro,17,1027,45,5,0,LIGHT,2019-02-22 07:18:57,2019-02-22 18:16:00,2019-02-22 11:05:02,2019-02-22 11
céu claro,14,1027,58,4,0,LIGHT,2019-02-22 07:19:01,2019-02-22 18:15:57,2019-02-22 10:04:58,2019-02-22 10
céu claro,12,1027,66,4,0,LIGHT,2019-02-22 07:19:04,2019-02-22 18:15:54,2019-02-22 09:04:58,2019-02-22 09
céu claro,11,1026,71,4,0,LIGHT,2019-02-22 07:19:08,2019-02-22 18:15:51,2019-02-22 08:04:58,2019-02-22 08
céu claro,11,1026,71,4,0,DARK,2019-02-22 07:19:12,2019-02-22 18:15:48,2019-02-22 07:04:58,2019-02-22 07
céu claro,12,1026,66,4,0,DARK,2019-02-22 07:19:15,2019-02-22 18:15:44,2019-02-22 06:04:58,2019-02-22 06
céu claro,11,1026,71,4,0,DARK,2019-02-22 07:19:19,2019-02-22 18:15:41,2019-02-22 05:04:58,2019-02-22 05
céu claro,11,1027,76,4,0,DARK,2019-02-22 07:19:23,2019-02-22 18:15:38,2019-02-22 04:04:58,2019-02-22 04
céu claro,11,1027,81,4,0,DARK,2019-02-22 07:19:26,2019-02-22 18:15:35,2019-02-22 03:04:58,2019-02-22 03
céu claro,11,1027,81,4,0,DARK,2019-02-22 07:19:30,2019-02-22 18:15:32,2019-02-22 02:04:58,2019-02-22 02
algumas nuvens,11,1027,87,2,20,DARK,2019-02-22 07:19:34,2019-02-22 18:15:29,2019-02-22 01:04:58,2019-02-22 01
céu claro,12,1027,81,4,0,DARK,2019-02-22 07:19:37,2019-02-22 18:15:26,2019-02-22 00:04:58,2019-02-22 00
céu claro,13,1027,76,4,0,DARK,2019-02-21 07:19:41,2019-02-21 18:15:23,2019-02-21 23:04:58,2019-02-21 23
céu claro,13,1027,82,3,0,DARK,2019-02-21 07:19:45,2019-02-21 18:15:20,2019-02-21 22:04:58,2019-02-21 22
céu claro,13,1026,82,4,0,DARK,2019-02-21 07:19:48,2019-02-21 18:15:17,2019-02-21 21:04:58,2019-02-21 21
céu claro,12,1026,81,2,0,DARK,2019-02-21 07:19:52,2019-02-21 18:15:14,2019-02-21 20:04:58,2019-02-21 20
céu claro,13,1025,82,2,0,DARK,2019-02-21 07:19:56,2019-02-21 18:15:11,2019-02-21 19:04:58,2019-02-21 19
céu claro,14,1025,82,1,0,LOW_LIGHT,2019-02-21 07:19:59,2019-02-21 18:15:08,2019-02-21 18:05:03,2019-02-21 18
céu claro,15,1024,72,3,0,LIGHT,2019-02-21 07:20:03,2019-02-21 18:15:05,2019-02-21 17:04:58,2019-02-21 17
céu claro,17,1023,63,3,0,LIGHT,2019-02-21 07:20:07,2019-02-21 18:15:02,2019-02-21 16:04:58,2019-02-21 16
céu claro,17,1023,63,3,0,LIGHT,2019-02-21 07:20:10,2019-02-21 18:14:59,2019-02-21 15:04:58,2019-02-21 15
céu claro,16,1024,63,4,0,LIGHT,2019-02-21 07:20:18,2019-02-21 18:14:53,2019-02-21 13:04:58,2019-02-21 13
céu claro,17,1023,55,3,0,LIGHT,2019-02-21 07:20:21,2019-02-21 18:14:50,2019-02-21 12:04:58,2019-02-21 12
céu claro,15,1023,58,5,0,LIGHT,2019-02-21 07:20:25,2019-02-21 18:14:47,2019-02-21 11:04:59,2019-02-21 11
céu claro,13,1023,66,5,0,LIGHT,2019-02-21 07:20:29,2019-02-21 18:14:44,2019-02-21 10:04:58,2019-02-21 10
céu claro,12,1023,66,6,0,LIGHT,2019-02-21 07:20:32,2019-02-21 18:14:41,2019-02-21 09:04:59,2019-02-21 09
céu claro,10,1022,76,5,0,LIGHT,2019-02-21 07:20:36,2019-02-21 18:14:38,2019-02-21 08:04:58,2019-02-21 08
céu claro,11,1022,71,5,0,DARK,2019-02-21 07:20:39,2019-02-21 18:14:35,2019-02-21 07:05:02,2019-02-21 07
céu claro,10,1022,76,5,0,DARK,2019-02-21 07:20:43,2019-02-21 18:14:32,2019-02-21 06:05:00,2019-02-21 06
céu claro,10,1022,81,4,0,DARK,2019-02-21 07:20:47,2019-02-21 18:14:29,2019-02-21 05:04:59,2019-02-21 05
céu claro,10,1022,81,4,0,DARK,2019-02-21 07:20:50,2019-02-21 18:14:26,2019-02-21 04:04:58,2019-02-21 04
céu claro,10,1022,81,4,0,DARK,2019-02-21 07:20:54,2019-02-21 18:14:23,2019-02-21 03:04:59,2019-02-21 03
céu claro,9,1023,87,2,0,DARK,2019-02-21 07:20:58,2019-02-21 18:14:19,2019-02-21 02:04:58,2019-02-21 02
algumas nuvens,9,1023,87,1,20,DARK,2019-02-21 07:21:01,2019-02-21 18:14:16,2019-02-21 01:05:00,2019-02-21 01
algumas nuvens,9,1023,87,2,40,DARK,2019-02-21 07:21:05,2019-02-21 18:14:13,2019-02-21 00:04:58,2019-02-21 00
céu claro,9,1023,87,3,0,DARK,2019-02-20 07:21:08,2019-02-20 18:14:10,2019-02-20 23:04:58,2019-02-20 23
céu claro,10,1023,81,3,0,DARK,2019-02-20 07:21:12,2019-02-20 18:14:07,2019-02-20 22:04:58,2019-02-20 22
céu claro,10,1023,76,2,0,DARK,2019-02-20 07:21:16,2019-02-20 18:14:04,2019-02-20 21:04:58,2019-02-20 21
céu claro,10,1023,76,2,0,DARK,2019-02-20 07:21:19,2019-02-20 18:14:01,2019-02-20 20:04:58,2019-02-20 20
céu claro,11,1022,71,2,0,DARK,2019-02-20 07:21:23,2019-02-20 18:13:58,2019-02-20 19:04:58,2019-02-20 19
céu claro,14,1022,62,3,0,LOW_LIGHT,2019-02-20 07:21:27,2019-02-20 18:13:55,2019-02-20 18:04:58,2019-02-20 18
céu claro,14,1022,62,3,0,LIGHT,2019-02-20 07:21:30,2019-02-20 18:13:52,2019-02-20 17:04:58,2019-02-20 17
céu claro,14,1022,58,3,0,LIGHT,2019-02-20 07:21:34,2019-02-20 18:13:49,2019-02-20 16:04:58,2019-02-20 16
céu claro,14,1022,54,4,0,LIGHT,2019-02-20 07:21:37,2019-02-20 18:13:46,2019-02-20 15:04:58,2019-02-20 15
céu claro,14,1022,54,4,0,LIGHT,2019-02-20 07:21:41,2019-02-20 18:13:43,2019-02-20 14:04:58,2019-02-20 14
